index,new_release_date
4,07/18
18,08/20
30,10/20
53,07/18
58,07/18
69,
79,
102,
112,
122,
126,
134,
138,
151,
170,
176,
182,
191,
195,
196,
198,
208,07/19
214,01/21
216,10/17
225,03/19
232,01/20
241,
246,
247,07/19
248,
253,
258,
270,
274,
276,
288,
289,
300,
304,
305,
306,
313,09/20
318,07/19
324,09/20
325,08/17
326,06/20
327,
329,06/17
332,
336,
338,
351,
360,09/20
363,
366,
367,
373,
401,
403,
433,
435,
443,
449,07/19
450,10/20
459,11/20
469,01/21
481,
483,
484,
485,
486,11/20
489,
492,
503,
504,
511,
513,
519,
524,
528,
529,
548,09/17
554,09/20
555,11/20
556,08/19
558,07/19
568,
570,
573,
574,
577,01/21
579,
580,
581,
583,
585,
586,11/20
587,
588,
589,
590,04/19
591,
592,
593,
594,
596,
597,
600,
601,11/20
602,
603,
604,
605,
607,
608,08/18
610,
611,
612,10/19
613,
616,
617,
618,
619,
622,
627,
632,
634,01/21
639,
640,03/21
641,09/20
642,08/19
643,
644,
647,
649,
650,
655,09/20
662,
670,
677,
688,
694,
698,
705,
706,
710,11/20
714,
721,
723,
725,
745,
748,
755,02/20
765,
787,08/20
788,
790,
795,
800,02/19
803,
805,
817,
819,
821,
825,
834,01/21
837,11/20
842,08/20
843,
851,
855,
871,
884,04/21
885,
886,08/20
891,
898,
904,
908,05/21
910,
911,
912,
921,
945,
951,
953,07/17
958,04/19
962,04/19
963,
966,
967,04/21
976,07/19
978,
985,10/20
994,
996,06/20
998,
1005,
1017,
1018,
1026,
1027,08/20
1028,
1029,11/20
1031,08/17
1038,
1040,
1044,
1051,
1053,
1055,01/19
1058,
1062,07/19
1067,
1069,
1076,
1082,
1088,
1089,
1095,
1097,05/19
1100,
1102,
1105,06/20
1109,
1114,09/17
1122,
1123,
1126,07/19
1128,02/20
1137,
1138,
1147,
1148,
1152,
1153,
1155,
1156,
1163,
1181,04/24
1182,
1183,11/20
1185,09/17
1188,
1200,
1204,01/21
1211,
1214,
1216,08/20
1218,
1219,
1220,06/19
1222,
1224,
1225,06/19
1228,
1232,
1236,
1242,
1249,
1257,09/20
1258,
1259,
1261,
1262,09/17
1270,04/21
1272,
1274,03/17
1276,
1280,09/20
1294,
1301,
